"id","name","terms"
"d002995","clofibric acid","clofibric acid;clofibrinic acid;p-chlorophenoxyisobutyric acid;2-4-chlorophenoxy-2-methylpropionic acid;p-chlorophenoxyisobutyrate;nsc-1149;nsc 1149;nsc1149"
"d011345","fenofibrate","fenofibrate;phenofibrate;procetofene;procetofen;apo-feno-micro;apo feno micro;apo-fenofibrate;apo fenofibrate;cil;controlip;durafenat;fenobeta;fenofanton;fenofibrat abz;fenofibrat al;fenofibrat azu;azu fenofibrat;fenofibrat heumann;heumann fenofibrat;fenofibrat hexal;hexal fenofibrat;fenofibrat stada;stada fenofibrat;fenofibrat von ct;fenofibrat-ratiopharm;fenofibrat ratiopharm;fnofibrate msd;gen-fenofibrate;gen fenofibrate;lf-178;lf 178;lf178;lipanthyl;lipantil;fenofibrat fph;lipidil;secalip;supralip;fnofibrate debat;debat fnofibrate;lipidil-ter;lipidil ter;liparison;livesan;lofibra;mtw-fenofibrat;mtw fenofibrat;novo-fenofibrate;novo fenofibrate;nu-fenofibrate;nu fenofibrate;pms-fenofibrate micro;pms fenofibrate micro;tricor;normalip;antara micronized procetofen;micronized procetofen antara;procetofen antara micronized"
"d015248","gemfibrozil","gemfibrozil;gemfibrosil;ausgem;bolutol;chem mart gemfibrozil;ci-719;ci 719;ci719;dbl gemfibrozil;decrelip;gemfi 1a pharma;gemfibrozilo bayvit;bayvit gemfibrozilo;gemfibrozilo bexal;gemfibrozilo ur;gemhexal;gen-gemfibrozil;gen gemfibrozil;gengemfibrozil;genrx gemfibrozil;gemfibrozil genrx;healthsense gemfibrozil;gemfibrozil healthsense;jezil;lipazil;lipox gemfi;litarek;lopid;lipur;lopid r;novo-gemfibrozil;novo gemfibrozil;nu-gemfibrozil;nu gemfibrozil;nugemfibrozil;pilder;pms-gemfibrozil;pms gemfibrozil;sbpa gemfibrozil;gemfibrozil sbpa;terry white chemists gemfibrozil;trialmin;apo-gemfibrozil;apo gemfibrozil;apogemfibrozil"
"d058607","fibric acids","fibric acids;methyl-2-phenoxypropanoic acid derivatives;methyl 2 phenoxypropanoic acid derivatives;fibric acid derivatives;acid derivatives fibric;2-phenoxy isobutyric acids;2 phenoxy isobutyric acids;isobutyric acids 2-phenoxy;2-phenoxy-2-methylpropionic acid derivatives;2 phenoxy 2 methylpropionic acid derivatives;fibrates"
"d008721","methocarbamol","methocarbamol;guaiphenesin carbamate;carbamate guaiphenesin;parabaxin;ortoton;robaxin;lumirelax"
"d006140","guaifenesin","guaifenesin;guaiphenezine;guaiphenesin;glycerol guaiacolate;guaiacolate glycerol;guaiacol glyceryl ether;ether guaiacol glyceryl;glyceryl ether guaiacol;guiatuss;scott-tussin;scott tussin;scotttussin;hytuss;my-301;my 301;my301;breonesin;humibid"
"d006139","guaiacol","guaiacol;2-hydroxyanisole;2-methoxy-phenol;guaicol;methyl catechol;catechol methyl;2-hydroxy-anisole;2-methoxyphenol"
"d055768","halogenated diphenyl ethers","halogenated diphenyl ethers;diphenyl ethers halogenated;ethers halogenated diphenyl;chlorinated diphenyl ethers;diphenyl ethers chlorinated;ethers chlorinated diphenyl;pcdes;pcde compounds;iodinated diphenyl ethers;diphenyl ethers iodinated;ethers iodinated diphenyl;brominated diphenyl ethers;diphenyl ethers brominated;ethers brominated diphenyl;pbdes;polybrominated diphenyl ethers;diphenyl ethers polybrominated;ethers polybrominated diphenyl;pbde compounds;fluorinated diphenyl ethers;diphenyl ethers fluorinated;ethers fluorinated diphenyl"
"d062425","hydroxybenzoate ethers","hydroxybenzoate ethers;ethers hydroxybenzoate;methoxybenzoates;ethoxybenzoates"
"d026023","permethrin","permethrin;3-phenoxybenzyl-cistrans-1rs-3-22-dichlorovinyl-22-dimethylcyclopropanecarboxylate;m-phenoxybenzyl-cistrans-3-22-dichlorovinyl-22-dimethylcyclopropanecarboxylate;3-phenoxybenzyl---cistrans-22-dichlorovinyl-22-dimethyl-cyclopropylcarboxylic acid ester;cyclopropanecarboxylic acid 3-22-dichloroethenyl-22-dimethyl- 3-phenoxyphenylmethyl ester;permethrin trans---isomer;trans-1rs-permethrin;permethrin trans-1rs-isomer;permethrin trans-isomer;trans-permethrin;trans permethrin;s-3151;s 3151;s3151;ambush;elimite;fmc-33297;fmc 33297;fmc33297;nittifor;nrdc-143;nrdc 143;nrdc143;nrdc-147;nrdc 147;nrdc147;permethrin 1r-cis-isomer;permethrin 1r-trans-isomer;permethrin 1s-cis-isomer;permethrin 1s-trans-isomer;permethrin cis-isomer;cis-permethrin;cis permethrin;nia-33297;nia 33297;nia33297;permethrin cis---isomer;permethrin cis-1rs-isomer;cis-1rs-permethrin;pp-557;pp 557;pp557"
