"id","name","terms"
"d011802","quinidine","quinidine;chinidin;apo-quinidine;apo quinidine;quinora;quinidex;quinidine sulfate;sulfate quinidine;adaquin;quincardine"
"d011803","quinine","quinine;quinimax;quinine bisulfate;bisulfate quinine;quinine hydrochloride;hydrochloride quinine;myoquin;quinamm;quinbisan;legatrim;quinine lafran;quinine sulfate;sulfate quinine;quinine sulphate;sulphate quinine;quinine-odan;quinoctal;surquina;biquinate;strema;quindan;quinbisul;quinson;quinsul"
"d002930","cinchona alkaloids","cinchona alkaloids;alkaloids cinchona"
"d003703","demecolcine","demecolcine;colchamine;demecolcine --isomer;colcemide;colcemid"
"d008162","lumicolchicines","lumicolchicines;gamma-lumicolchicine;gamma lumicolchicine;beta-lumicolchicine;beta lumicolchicine"
"d003078","colchicine","colchicine;colchicine r-isomer;colchicine --isomer"
"d004079","dihydro-beta-erythroidine","dihydro-beta-erythroidine;dihydro beta erythroidine;erythroidine dihydro beta;beta erythroidine dihydro"
"d004640","emetine","emetine;methylcephaeline;ipecine;emetine hydrochloride;hydrochloride emetine;emetine dihydrochloride;dihydrochloride emetine"
"d000077465","cabergoline","cabergoline;1-6-allylergolin-8beta-ylcarbonyl-1-3-dimethylaminopropyl-3-ethylurea;fce 21336;fce-21336;cabaser;cabaseril;dostinex;galastop;cabergoline diphosphate;1-ethyl-2-3-dimethylaminopropyl-3-6-allylergoline-8-beta-carbonylurea diphosphate"
"d008755","methylergonovine","methylergonovine;methylergometrine;methylergobasin;methylergometrin;methylergonovine maleate;methylergometrine maleate;methergine;mthergin;methergin"
"d004874","ergonovine","ergonovine;ergometrin;ergobasin;ergometrine;ergonovine maleate;ergometrine maleate;ergotrate"
"d008090","lisuride","lisuride;lysurid;methylergol carbamide;carbamide methylergol;arolac;cuvalit;dopergine;dopergin;revanil;lisuride 8alpha---isomer;lysenyl;lisuride maleate;maleate lisuride;lysuride hydrogen maleate;hydrogen maleate lysuride;lisuride maleate 11;lisuride maleate 8beta-isomer;lisuride mesylate;mesylate lisuride;lisuride phosphate 11;lisuride hydrochloride;hydrochloride lisuride"
"d008238","lysergic acid diethylamide","lysergic acid diethylamide;acid diethylamide lysergic;diethylamide lysergic acid;lysergide;lsd;lsd-25;lsd 25;lysergic acid diethylamide tartrate"
"d008237","lysergic acid","lysergic acid;acid lysergic"
"d008711","metergoline","metergoline;methergoline;liserdol"
"d008784","methysergide","methysergide;dimethylergometrin;methylmethylergonovine;uml-491;uml 491;uml491;sansert;deseril;dsernil-sandoz;dsernil sandoz;desril;methysergide dimaleate;dimaleate methysergide;methysergide maleate;maleate methysergide"
"d009530","nicergoline","nicergoline;nimergoline;nicotergoline;ergobel;fi 6714;fisifax;nicergobeta;sermion;nicergolin lindo;nicergolin von ct;von ct nicergolin;nicergolin-neuraxpharm;nicergolin neuraxpharm;nicergolin-ratiopharm;nicergolin ratiopharm;nicergolin-teva;nicergolin teva;nicerium;circo-maren;circo maren;nicergolin atid"
"d010479","pergolide","pergolide;pharken;permax;celance;parkotil;ly-127809;ly127809;ly-127809;ly127809;pergolide mesylate;mesylate pergolide"
"d004873","ergolines","ergolines;ergoline"
"d001971","bromocriptine","bromocriptine;2-bromo-alpha-ergokryptine;2 bromo alpha ergokryptine;bromocryptin;2-bromoergokryptine;2 bromoergokryptine;bromocriptin;2-bromoergocryptine;2 bromoergocryptine;2-bromo-alpha-ergocryptine;2 bromo alpha ergocryptine;cb-154;cb 154;cb154;parlodel;2-bromoergocryptine mesylate;2 bromoergocryptine mesylate;mesylate 2-bromoergocryptine;bromocriptine mesylate;mesylate bromocriptine;2-bromoergocryptine methanesulfonate;2 bromoergocryptine methanesulfonate;methanesulfonate 2-bromoergocryptine"
"d025441","dihydroergocornine","dihydroergocornine;ergocornine 910-dihydro-;dihydroergocornine monomesylate;monomesylate dihydroergocornine;dihydroergocornine mesylate;mesylate dihydroergocornine"
"d025442","dihydroergocristine","dihydroergocristine;dihydroergocristine monomesylate;monomesylate dihydroergocristine;dihydroergocristine mesylate;mesylate dihydroergocristine;diertine;ergodavur;enirant"
"d025443","dihydroergocryptine","dihydroergocryptine;almirid;dihydroergocryptine monomesylate;monomesylate dihydroergocryptine;dihydroergokryptine monomesylate;monomesylate dihydroergokryptine;cripar;dihydroergocryptine mesylate;mesylate dihydroergocryptine;dihydroergokryptine mesylate;mesylate dihydroergokryptine"
"d004087","dihydroergotamine","dihydroergotamine;clavigrenin;d-tamin retard lut;d tamin retard lut;det ms;dhe-45;dhe 45;dhe45;dhe 45;dhe-puren;dhe puren;dhe-ratiopharm;dhe ratiopharm;dihydroergotamin al;dihydroergotamine mesylate;mesylate dihydroergotamine;dihydroergotamine methanesulfonate;methanesulfonate dihydroergotamine;dihytamin;erganton;ergomimet;ergont;ergotam von ct;von ct ergotam;ikaran;migranal;dihydergot;dihydroergotamine-sandoz;dihydroergotamine sandoz;orstanorm;seglor;agit;tamik;verladyn;angionorm"
"d004877","ergoloid mesylates","ergoloid mesylates;dihydroergotoxine mesylate;dihydroergotoxine methanesulfonate;methanesulfonate dihydroergotoxine;ergotoxin dihydro- monomethasulfonate;co-dergocrine mesylate;co dergocrine mesylate;dihydroergotoxine monomethanesulfonate;monomethanesulfonate dihydroergotoxine;ergoloid mesylate;co-dergine mesylate;co dergine mesylate;co-dergocrine mesilate;co dergocrine mesilate;redergin;redergine;hydergine;redergam;circanol;ergodesit"
"d004088","dihydroergotoxine","dihydroergotoxine;dihydroergotoxin;co-dergocrine;ergot alkaloids hydrogenated;alkaloids hydrogenated ergot;hydrogenated ergot alkaloids"
"d004878","ergotamine","ergotamine;ergomar;ergostat;ergotamine tartrate;tartrate ergotamine;ergotamine tartrate 21;ergotaminine;ergo-kranit;ergo kranit;lingraine;cornutamine;ergo sanol;ergodryl mono;mono ergodryl;gynergen"
"d004879","ergotamines",""
"d004876","ergot alkaloids","ergot alkaloids;alkaloids ergot;clavine alkaloids;alkaloids clavine"
"d000077863","homoharringtonine","homoharringtonine;omacetaxine mepesuccinate;cephalotaxine;omacetaxine;homoharringtonine 3r-isomer;ceflatonin;synribo"
"d006248","harringtonines","harringtonines;cephalotaxine alkaloids;alkaloids cephalotaxine;cephalotaxus alkaloids;alkaloids cephalotaxus"
"d006246","harmaline","harmaline;dihydroharmine;harmidine;3h-pyrido34-bindole 49-dihydro-7-methoxy-1-methyl-"
"d006247","harmine","harmine;yageine;leucoharmine;telepathine;9h-pyrido34-bindole 7-methoxy-1-methyl-;banisterine"
"d000077290","harmala alkaloids","harmala alkaloids;alkaloids harmala"
"d008235","lyngbya toxins","lyngbya toxins;toxins lyngbya"
"d000078183","oxindoles","oxindoles;indolinone derivatives;oxindole alkaloid derivatives;indolinones;oxazolidinone derivatives;oxindole alkaloids;oxindole derivatives;ajmalicine oxindoles;oxindoles ajmalicine;ajmalicine-type oxindoles;ajmalicine type oxindoles;oxindoles ajmalicine-type;macroline oxindoles;oxindoles macroline;macroline-type oxindoles;macroline type oxindoles;oxindoles macroline-type"
"d010830","physostigmine","physostigmine;eserine"
"d011562","psilocybin","psilocybin;psilocybine;psilocibin"
"d004611","ellipticines",""
"d007050","ibogaine","ibogaine;12-methoxyibogamine;12 methoxyibogamine;nih-10567;nih 10567;nih10567;endabuse"
"d013331","strychnine","strychnine;strychnine nitrate;nitrate strychnine"
"d014747","vinblastine","vinblastine;vincaleukoblastine;lemblastine;velban;vinblastina lilly;velbe;vinblastine sulfate;sulfate vinblastine;vinblastinsulfat-gry;cellblastin;vinblastin hexal"
"d014749","vincamine","vincamine;vincimax;pervincamine;vincapront;cerebroxine;devincan"
"d014750","vincristine","vincristine;leurocristine;vincristine sulfate;sulfate vincristine;cellcristin;citomid;vincristin medac;oncovin;oncovine;onkocristin;vincasar;farmistin;vincasar pfs;pfs vincasar;vincristin bristol;vintec;vincrisul"
"d014751","vindesine","vindesine;vindesin;desacetylvinblastine amide;eldisine;enison;vindesine sulfate;sulfate vindesine;nsc-245467;nsc 245467;nsc245467;compound 112531"
"d000077235","vinorelbine","vinorelbine;5-nor-anhydrovinblastine;5 nor anhydrovinblastine;kw 2307;kw-2307;kw2307;navelbine;vinorelbine tartrate"
"d014748","vinca alkaloids","vinca alkaloids;alkaloids vinca"
"d012110","reserpine","reserpine;rausedil;rausedyl;serpasil;raunervil;v-serp;v serp;raupasil;serpivite"
"d015016","yohimbine","yohimbine;corynanthine;rauhimbine;corynanthine tartrate;tartrate corynanthine;pluriviron;rauwolscine;yohimbin spiegel;yohimbine houd;yohimbine hydrochloride;hydrochloride yohimbine;aphrodine hydrochloride;hydrochloride aphrodine;yohimex;aphrodyne;yocon"
"d064794","lorajmine","lorajmine;lorajmine hydrochloride;hydrochloride lorajmine"
"d011219","prajmaline","prajmaline;prajmalium;n-propylajmaline;prajmalium bitartrate;bitartrate prajmalium;prajmaline bitartrate;bitartrate prajmaline;neo-gilurytmal;neo gilurytmal;neogilurytmal"
"d000404","ajmaline","ajmaline;aritmina;tachmalin;gilurtymal;rauverid;wolfina;serenol;ajmaline hydrochloride;cardiorythmine"
